Nome,Endereço,Latitude,Longitude,Categoria
adidas Store BLUMENAU,"R. 7 de Setembro, 1213 - Centro, Blumenau",-26.920565,-49.069847,store
Lookday Store,"R. Curt Hering, 40 - sala C - Centro, Blumenau",-26.9218045,-49.0638239,store
Wonderful Store,"R. Alm. Tamandaré, 141 - sala 3 - Vila Nova, Blumenau",-26.9110847,-49.0825635,store
Lua Clara | Store - Centro Blumenau,"R. XV de Novembro, 1100 - Centro, Blumenau",-26.9182651,-49.0668114,store
FB Store,"Loja Rosa chá closet - R. 7 de Setembro, 990 - Centro, Blumenau",-26.9211497,-49.0661772,store
Vivia Store,"R. Cel. Vidal Ramos, 307 - Jardim Blumenau, Blumenau",-26.9257418,-49.063888,store
Lua Clara | Store - Blumenau B.Fonte/Garcia,"R. Amazonas, 506 - Garcia, Blumenau",-26.9274642,-49.0576745,store
store madein,"R. São Paulo, 203 - Victor Konder, Blumenau",-26.9138393,-49.0710867,store
Hospital Santa Isabel,"R. Floriano Peixoto, 300 - Centro, Blumenau",-26.9239033,-49.065172,hospital
Hospital Santo Antônio,"R. Itajaí, 545 - Vorstadt, Blumenau",-26.9165159,-49.05825919999999,hospital
Dr. Eduardo Gonçalves | Médico do Esporte Especialista em Emagrecimento | Performance Esportiva e Hipertrofia,"R. Floriano Peixoto, 300 - Centro, Blumenau",-26.9241039,-49.06476439999999,hospital
Hospital Santa Isabel -Anatomia Patológica,"R. Floriano Peixoto, 300 - Centro, Blumenau",-26.923743,-49.0654824,hospital
ONCO HSC,"Hospital Santa Catarina de Blumenau - R. Amazonas, 301 - 4º Andar - Garcia, Blumenau",-26.926624,-49.0558078,hospital
la casa de pastel,"R. Emílio Tallmann - Progresso, Blumenau",-26.9606041,-49.0761615,restaurant
Rock Burguer's,"R. Nicolau Werner, 366 - Valparaíso, Blumenau",-26.9575179,-49.0747055,restaurant
Rei dos salgadinhos,"R. Ernesto Steinbach - Valparaíso, Blumenau",-26.9535093,-49.0752713,restaurant
Casa da Fumaça Assadão,"R. Antônio Zendron, 274 - Valparaíso, Blumenau",-26.9521039,-49.0743127,restaurant
Dogão do Louze,"R. Ernesto Steinbach, 43 - Valparaíso, Blumenau",-26.9529255,-49.0754897,restaurant
Restaurante Cantinho Brasileiro,"R. Amazonas, 3361 - Garcia, Blumenau",-26.9478187,-49.0720913,restaurant
Chen’s Comida Oriental,"R. Amazonas, 3000 - Garcia, Blumenau",-26.9448664,-49.07296940000001,restaurant
SUBWAY Garcia,"Praça de Alimentação Cooper - R. Amazonas, 3000 - Garcia, Blumenau",-26.9448641,-49.07300859999999,restaurant
Coffee Burger,"R. Srg. Carlos Argemiro de Carvalho, 101 - Garcia, Blumenau",-26.9467088,-49.0733683,restaurant
"Augustu's Crepes, Panquecas , Caldo de Cana e Evento","R. Amazonas, 3000 - Garcia, Blumenau",-26.9446164,-49.0729513,restaurant
Bob's Shakes,"R. Amazonas, 3000 - Garcia, Blumenau",-26.9448616,-49.0730499,restaurant
Montevideo Burguer,"R. Amazonas, 3403 - Garcia, Blumenau",-26.9481833,-49.0720289,restaurant
Japa Lanches Blumenau,"R. Daniel Vitório Schramm, 2-66 - Progresso, Blumenau",-26.9529904,-49.0746816,restaurant
Lanchonete Tempero Brasileiro,"R. Amazonas, 3361 - Garcia, Blumenau",-26.9478187,-49.0720913,restaurant
Burger Lanches Uruguay.,"Garcia, Blumenau",-26.9480737,-49.072035,restaurant
Quality Hotel Blumenau,"R. Hermann Huscher, 670 - Vila Formosa, Blumenau",-26.9352574,-49.06753310000001,hotel
Casa Amarela Blumenau Hospedagem Alternativa,"R. Frederico Guilherme Busch, 255 - Jardim Blumenau, Blumenau",-26.9279689,-49.0649003,hotel
Bankboston Banco Múltiplo Sa,"R. 7 de Setembro, 954 - Centro, Blumenau",-26.9216196,-49.06617869999999,bank
Escritório Bradesco Private Bank,"Salas 202/203, R. XV de Novembro, 920 - Boa Vista, Blumenau",-26.9195845,-49.0654116,bank
Valley Bank,"R. Paulo Zimmermann, 147 - Centro, Blumenau",-26.9155957,-49.0713618,bank
Itaú - Ag. 0132 - Blumenau SC,"R. XV de Novembro, 728 - Centro, Blumenau",-26.9206414,-49.0639225,bank
Banco Itaú Personnalité - Agência 7008,"R. 7 de Setembro, 955 - Ribeirão Fresco, Blumenau",-26.9217872,-49.066348,bank
Bradesco,"R. 7 de Setembro, 1213 - Centro, Blumenau",-26.9206425,-49.0699063,bank
Sicoob,"R. XV de Novembro, 117 - Centro, Blumenau",-26.9219806,-49.0584127,bank
Banco Bradesco - Agência 333 BLUMENAU-CTO,"R. XV de Novembro, 849 - Centro, Blumenau",-26.9205209,-49.0649965,bank
Banrisul,"R. XV de Novembro, 666 - Centro, Blumenau",-26.9208674,-49.0633597,bank
"Gerência Regional de Apoio ao Comércio Exterior, Blumenau","R. XV de Novembro, 1305 - Centro, Blumenau",-26.9221018,-49.0613645,bank
Banco Bradesco - Agência 1109,"R. XV de Novembro, 319 - Centro, Blumenau",-26.9225347,-49.0602271,bank
Banco Santander - Agência 3059 - Blumenau,"R. XV de Novembro, 714 - Centro, Blumenau",-26.9207658,-49.0638436,bank
Banco Daycoval Blumenau,"R. Floriano Peixoto, 222 - Salas 601 e 602 - Centro, Blumenau",-26.9232407,-49.06442819999999,bank
Agibank,"R. XV de Novembro, 1360 - Centro, Blumenau",-26.9163337,-49.0680798,bank
Banco Itaú - Agência 0132,"R. XV de Novembro, 1231 - Centro, Blumenau",-26.9179564,-49.0677444,bank
Banco Santander - Agência Select 1822 Blumenau,"R. XV de Novembro, 320 - Centro, Blumenau",-26.922285,-49.0603625,bank
Supermercado M C,"R. Pedro Krauss Sênior, 45 - Vorstadt, Blumenau",-26.912836,-49.050285,supermarket
Vargas Supermercado,"R. Luiz Eleodoro da Silva, 675 - Ponta Aguda, Blumenau",-26.9022656,-49.0484292,supermarket
Giassi Supermercados - Blumenau,"R. São Paulo, 1277 - Victor Konder, Blumenau",-26.9063049,-49.076786,supermarket
Groceries Casa Bahia,"R. São Paulo, 443 - Victor Konder, Blumenau",-26.9117847,-49.0717581,supermarket
Berinjela Grill Garcia - Cooper,"R. Amazonas - Garcia, Blumenau",-26.9444457,-49.0723926,restaurant
Restaurante Cantinho do Sabor,"Estacionamento Paróquia Santo Antônio - R. Amazonas, 3725 - Garcia, Blumenau",-26.9508861,-49.071318,restaurant
Madrugão Lanches II,"R. Amazonas, 3281 - Garcia, Blumenau",-26.9471071,-49.0721271,restaurant
Açaits Garcia,"R. Amazonas, 3101 - Garcia, Blumenau",-26.9454821,-49.0720489,restaurant
Reino da Gula Xis Gaúcho,"R. Amazonas, 3660 - Garcia, Blumenau",-26.9506079,-49.0721028,restaurant
Restaurante Espetinho de Ouro,"R. Amazonas, 2597 - Garcia, Blumenau",-26.9413607,-49.0701705,restaurant
Assados Garcia,"R. Amazonas, 4050 - Garcia, Blumenau",-26.953535,-49.070144,restaurant
Churrascaria Tiefensee,"R. Amazonas, 2322 - Garcia, Blumenau",-26.9395025,-49.0687522,restaurant
Usina Espetaria,"Rua: Amazonas, 3000 - Sala 3 - Garcia, Blumenau",-26.9546747,-49.06886859999999,restaurant
Alladeen Arabian Food,"R. Urussanga, 335 - Garcia, Blumenau",-26.9453068,-49.0687351,restaurant
Restaurante e Lanchonete Trevo,"Rua da Glória, 116 - Glória, Blumenau",-26.961202,-49.067287,restaurant
Restaurante Sabor Caseiro,"R. Amazonas, 2119 - Garcia, Blumenau",-26.9386957,-49.0666472,restaurant
Estação Culinária de Sabores,"R. da Glória, 130 - Progresso, Blumenau",-26.9613162,-49.06722389999999,restaurant
Ogro burger,"R. Hélio Peixer, 09 - Garcia, Blumenau",-26.9714444,-49.0692385,restaurant
Hotel Oásis Chartouni,"R. Max Wehmuth, 61 - Centro, Blumenau",-26.9274992,-49.0564983,hotel
Restaurante Amigos DO Dog,"R. da Glória, 410 - Glória, Blumenau",-26.9629287,-49.0650476,restaurant
Pastelaria e Lanchonete Thomé,"R. da Glória, 591 - Glória, Blumenau",-26.9632921,-49.0634178,restaurant
Baitacao,"R. Francisco Vahldieck - Fortaleza Alta, Blumenau",-26.9478783,-49.0610478,restaurant
Maya Hot Dog,"R. da Glória - Glória, Blumenau",-26.9638705,-49.0587005,restaurant
Assados Glória Blumenau,"R. da Glória, 532 - Glória, Blumenau",-26.9632337,-49.0639484,restaurant
Sakura Sushi Blumenau,"R. Amazonas, 3000 - Garcia, Blumenau",-26.9546747,-49.06886859999999,restaurant
BOT 1 BURGUER,"R. Amazonas, 4424 - Garcia, Blumenau",-26.9551974,-49.0670915,restaurant
Mini Kalzone - Blumenau,"R. Amazonas, n° 2515 - Sala 1 - Garcia, Blumenau",-26.9407643,-49.0699193,restaurant
Hotel Hermann,"R. Floriano Peixoto, 213 - Centro, Blumenau",-26.9233021,-49.0639984,hotel
Hotel Glória Blumenau,"R. 7 de Setembro, 954 - Centro, Blumenau",-26.9215135,-49.0660065,hotel
Hotel Slaviero Blumenau,"R. 7 de Setembro, 640 - Centro, Blumenau",-26.9229905,-49.0630166,hotel
Plaza Blumenau Hotel,"R. 7 de Setembro, 818 - Centro, Blumenau",-26.922043,-49.0648156,hotel
ibis Blumenau,"R. Paul Hering, 67 - Centro, Blumenau",-26.9209551,-49.0649423,hotel
Rex Hotel,"R. 7 de Setembro, 644 - Centro, Blumenau",-26.922335,-49.0635501,hotel
